100 BANANAS, 4950, -7, 4945, 31, 4948.993756503642
PEARLS, 10004, -1, 9996, 1, 9999.004162330906
200 BANANAS, 4951, -1, 4945, 22, 4948.77800278887
PEARLS, 10004, -1, 9996, 1, 9999.004162330906
300 BANANAS, 4952, -25, 4945, 25, 4948.765145682205
PEARLS, 9998, -3, 9996, 2, 9995.7776672106
400 BANANAS, 4952, -25, 4946, 5, 4948.7661232235905
PEARLS, 10004, -2, 9998, 5, 9996.475668910743
500 BANANAS, 4952, -24, 4945, 24, 4948.758889031569
PEARLS, 10004, -2, 10002, 1, 9997.347691889028
600 BANANAS, 4950, -9, 4946, 2, 4948.716421429386
PEARLS, 10002, -9, 9996, 2, 9997.354569342144
700 BANANAS, 4952, -27, 4946, 7, 4948.717601777234
PEARLS, 10005, -27, 9998, 7, 9997.477269104938
800 BANANAS, 4951, -26, 4944, 26, 4948.644418969063
PEARLS, 10005, -26, 9995, 26, 9997.503008630447
900 BANANAS, 4950, -29, 4944, 2, 4948.541812731686
PEARLS, 10004, -2, 9996, 2, 9997.52697453526
1000 BANANAS, 4950, -2, 4944, 28, 4948.455532541822
PEARLS, 10004, -2, 9996, 2, 9997.550710417414
1100 BANANAS, 4950, -2, 4944, 25, 4948.374080610935
PEARLS, 10004, -2, 9996, 2, 9997.574218484648
1200 BANANAS, 4951, -30, 4945, 9, 4948.368760341919
PEARLS, 10004, -2, 9998, 9, 9997.633387469195
1300 BANANAS, 4946, -4, 4944, 28, 4947.918501704475
PEARLS, 10004, -1, 9996, 1, 9997.643238093673
1400 BANANAS, 4951, -2, 4945, 25, 4947.919315656784
PEARLS, 10004, -2, 9996, 2, 9997.717423367
1500 BANANAS, 4951, -22, 4950, 1, 4947.974799449133
PEARLS, 10004, -2, 10002, 1, 9997.861022911653
1600 BANANAS, 4951, -1, 4945, 23, 4947.97499316677
PEARLS, 10004, -1, 9996, 1, 9997.949580084853
1700 BANANAS, 4948, -2, 4945, 27, 4947.952045417837
PEARLS, 10005, -27, 9995, 27, 9997.976553402168
1800 BANANAS, 4952, -27, 4946, 2, 4947.956407351582
PEARLS, 10004, -2, 9996, 2, 9998.028090132831
1900 BANANAS, 4952, -31, 4945, 31, 4947.961953649393
PEARLS, 10004, -2, 9996, 2, 9998.036297874214
2000 BANANAS, 4950, -7, 4945, 26, 4947.95878939014
PEARLS, 10002, -7, 9996, 1, 9998.055128451073
2100 BANANAS, 4952, -23, 4945, 23, 4947.966088130518
PEARLS, 10005, -23, 9995, 23, 9998.063223650028
2200 BANANAS, 4952, -32, 4945, 32, 4947.972946635282
PEARLS, 10004, -2, 9996, 2, 9998.071285154087
2300 BANANAS, 4952, -24, 4946, 2, 4947.98299748472
PEARLS, 10004, -2, 9996, 2, 9998.104597289845
2400 BANANAS, 4953, -2, 4951, 3, 4948.462562799842
PEARLS, 10004, -2, 9998, 4, 9998.16117297004
2500 BANANAS, 4948, -5, 4947, 1, 4948.455675568473
PEARLS, 10004, -1, 9996, 1, 9998.168826776617
2600 BANANAS, 4953, -25, 4946, 25, 4948.466105606031
PEARLS, 10005, -25, 9995, 25, 9998.359375499133
2700 BANANAS, 4953, -25, 4947, 10, 4948.495107515015
PEARLS, 10004, -1, 9998, 4, 9998.481499421014
2800 BANANAS, 4953, -29, 4952, 1, 4948.849819736721
PEARLS, 10005, -29, 9998, 5, 9998.662923555708
2900 BANANAS, 4953, -25, 4946, 25, 4948.854400894285
PEARLS, 10004, -2, 10002, 10, 9999.332650722088
3000 BANANAS, 4953, -31, 4946, 31, 4948.860597298047
PEARLS, 10004, -2, 9996, 2, 9999.335428450613
3100 BANANAS, 4953, -2, 4947, 27, 4948.887293177778
PEARLS, 10004, -2, 9996, 2, 9999.346906714349
3200 BANANAS, 4951, -6, 4947, 2, 4948.888065189441
PEARLS, 10002, -6, 9996, 2, 9999.34012821571
3300 BANANAS, 4953, -28, 4946, 28, 4948.894053646183
PEARLS, 10004, -2, 9996, 2, 9999.342874820431
3400 BANANAS, 4953, -29, 4946, 29, 4948.898100294512
PEARLS, 10004, -2, 9996, 2, 9999.345609992875
3500 BANANAS, 4951, -9, 4946, 30, 4948.880567002402
PEARLS, 10002, -9, 9996, 2, 9999.33201585873
3600 BANANAS, 4954, -21, 4947, 21, 4948.965298216937
PEARLS, 9998, -1, 9995, 21, 9999.079362670864
3700 BANANAS, 4952, -6, 4947, 31, 4948.967523822694
PEARLS, 10000, -5, 9996, 2, 9999.048448118236
3800 BANANAS, 4953, -1, 4947, 30, 4948.971821330196
PEARLS, 10004, -1, 10002, 1, 9999.155865594654
3900 BANANAS, 4954, -25, 4948, 1, 4949.02347858567
PEARLS, 10005, -25, 9998, 1, 9999.165622657736
4000 BANANAS, 4953, -2, 4947, 29, 4949.034175020951
PEARLS, 10004, -2, 10002, 9, 9999.18158260505
4100 BANANAS, 4953, -24, 4946, 24, 4949.036113938658
PEARLS, 10004, -1, 9996, 1, 9999.184989129066
4200 BANANAS, 4947, -12, 4946, 28, 4948.788509218815
PEARLS, 10004, -2, 9996, 2, 9999.188381474001
4300 BANANAS, 4952, -2, 4946, 31, 4948.78938951343
PEARLS, 10004, -2, 9996, 2, 9999.196487395355
4400 BANANAS, 4953, -27, 4946, 26, 4948.79234730942
PEARLS, 9998, -1, 9996, 1, 9999.127347183377
4500 BANANAS, 4953, -27, 4946, 27, 4948.795292794084
PEARLS, 10005, -27, 9995, 27, 9999.130979453166
4600 BANANAS, 4953, -22, 4946, 22, 4948.80456323227
PEARLS, 10004, -1, 9996, 1, 9999.138526348628
4700 BANANAS, 4947, -8, 4946, 27, 4948.589651852848
PEARLS, 10004, -1, 9998, 4, 9999.22138937474
4800 BANANAS, 4952, -1, 4951, 1, 4948.6687656448
PEARLS, 10004, -1, 10002, 3, 9999.424384068327
4900 BANANAS, 4952, -22, 4946, 22, 4948.6721452423435
PEARLS, 9998, -4, 9995, 22, 9999.114643778954
5000 BANANAS, 4953, -23, 4947, 4, 4948.684889876192
PEARLS, 10004, -1, 9998, 3, 9999.126580662602
5100 BANANAS, 4948, -2, 4947, 9, 4948.658884062723
PEARLS, 10005, -25, 10002, 1, 9999.152920660006
5200 BANANAS, 4953, -24, 4947, 2, 4948.667375160969
PEARLS, 10004, -2, 9996, 2, 9999.156446484521
5300 BANANAS, 4954, -25, 4947, 25, 4948.7321710132655
PEARLS, 10005, -25, 9995, 25, 9999.159957633388
5400 BANANAS, 4952, -8, 4947, 27, 4948.737298750839
PEARLS, 10000, -6, 9995, 27, 9999.135082361696
5500 BANANAS, 4954, -30, 4947, 30, 4948.754217003287
PEARLS, 10004, -1, 9996, 1, 9999.15092905164
5600 BANANAS, 4953, -27, 4947, 9, 4948.762262372676
PEARLS, 10004, -1, 10002, 1, 9999.222934314785
5700 BANANAS, 4954, -25, 4950, 2, 4948.827286237526
PEARLS, 10004, -2, 9998, 4, 9999.236084066646
5800 BANANAS, 4954, -24, 4953, 1, 4949.226674957065
PEARLS, 10005, -24, 10002, 1, 9999.293881165162
5900 BANANAS, 4954, -21, 4947, 21, 4949.240622463709
PEARLS, 10004, -1, 10000, 5, 9999.313399770239
6000 BANANAS, 4953, -2, 4947, 24, 4949.248735828241
PEARLS, 9998, -4, 9996, 2, 9999.299753036452
6100 BANANAS, 4952, -2, 4947, 25, 4949.250533648067
PEARLS, 10000, -5, 9996, 1, 9999.275438322416
6200 BANANAS, 4948, -13, 4947, 30, 4949.243247347763
PEARLS, 10004, -1, 9996, 1, 9999.292666269945
6300 BANANAS, 4948, -1, 4947, 25, 4949.183619379748
PEARLS, 10005, -25, 9995, 25, 9999.295610426989
6400 BANANAS, 4954, -23, 4947, 23, 4949.189098591487
PEARLS, 10005, -23, 10000, 4, 9999.352243725772
6500 BANANAS, 4954, -20, 4947, 20, 4949.204255273283
PEARLS, 10005, -20, 9995, 20, 9999.363691951334
6600 BANANAS, 4955, -27, 4948, 27, 4949.232457317582
PEARLS, 10004, -1, 9996, 1, 9999.36634047599
6700 BANANAS, 4954, -2, 4948, 28, 4949.253503707401
PEARLS, 10004, -2, 10002, 4, 9999.381464969327
6800 BANANAS, 4954, -24, 4948, 1, 4949.276478903039
PEARLS, 10004, -1, 9998, 1, 9999.388201847707
6900 BANANAS, 4954, -28, 4952, 1, 4949.308815335787
PEARLS, 10005, -28, 9995, 28, 9999.406426603446
7000 BANANAS, 4954, -29, 4948, 7, 4949.324468991421
PEARLS, 10004, -2, 10000, 6, 9999.41722191415
7100 BANANAS, 4954, -30, 4947, 30, 4949.334394174566
PEARLS, 10004, -1, 9996, 1, 9999.435566385635
7200 BANANAS, 4954, -23, 4947, 23, 4949.35097171528
PEARLS, 10004, -2, 9996, 2, 9999.445907722295
7300 BANANAS, 4952, -4, 4947, 25, 4949.356833555318
PEARLS, 10002, -4, 9996, 2, 9999.441023422756
7400 BANANAS, 4953, -2, 4947, 30, 4949.386578794984
PEARLS, 10004, -2, 10002, 1, 9999.553051561634
7500 BANANAS, 4953, -29, 4947, 29, 4949.393297971977
PEARLS, 10005, -29, 9995, 29, 9999.563180119145
7600 BANANAS, 4953, -26, 4946, 26, 4949.395535286272
PEARLS, 10004, -2, 9996, 2, 9999.564998308035
7700 BANANAS, 4952, -28, 4951, 1, 4949.4042947647895
PEARLS, 10005, -28, 9995, 28, 9999.566808929021
7800 BANANAS, 4952, -1, 4951, 1, 4949.42522531439
PEARLS, 10004, -1, 9996, 1, 9999.581626277435
7900 BANANAS, 4950, -4, 4946, 1, 4949.315837735846
PEARLS, 10002, -4, 9996, 1, 9999.567261509326
8000 BANANAS, 4952, -23, 4945, 23, 4949.224015665597
PEARLS, 10004, -1, 9996, 1, 9999.56906271012
8100 BANANAS, 4952, -22, 4945, 22, 4949.181747738555
PEARLS, 10005, -22, 9995, 22, 9999.580777144742
8200 BANANAS, 4950, -2, 4949, 2, 4949.1879663340205
PEARLS, 9998, -1, 9995, 20, 9999.347337659301
8300 BANANAS, 4952, -27, 4946, 6, 4949.18285672902
PEARLS, 10004, -1, 10002, 1, 9999.491010535863
8400 BANANAS, 4951, -26, 4945, 26, 4949.148358568926
PEARLS, 10005, -26, 9995, 26, 9999.495721757507
8500 BANANAS, 4951, -30, 4947, 5, 4949.145796167957
PEARLS, 10005, -30, 9995, 30, 9999.50942986456
8600 BANANAS, 4951, -23, 4944, 23, 4949.06968118736
PEARLS, 10004, -1, 9996, 1, 9999.511471779795
8700 BANANAS, 4946, -1, 4945, 30, 4948.782818436441
PEARLS, 10004, -1, 9996, 1, 9999.513505195904
8800 BANANAS, 4947, -4, 4945, 23, 4948.4108750773785
PEARLS, 9998, -12, 9995, 23, 9999.386840496836
8900 BANANAS, 4952, -27, 4945, 27, 4948.415251651419
PEARLS, 10004, -1, 10002, 5, 9999.481854187205
9000 BANANAS, 4950, -7, 4945, 23, 4948.407303267965
PEARLS, 10002, -7, 9995, 23, 9999.476023556843
9100 BANANAS, 4949, -3, 4946, 31, 4948.394399371523
PEARLS, 10004, -1, 9996, 1, 9999.478204520186
9200 BANANAS, 4950, -3, 4945, 24, 4948.381678997557
PEARLS, 10002, -3, 9995, 24, 9999.469252785864
9300 BANANAS, 4952, -23, 4945, 23, 4948.38351982009
PEARLS, 10005, -23, 9995, 23, 9999.480041268107
9400 BANANAS, 4952, -24, 4946, 24, 4948.386085814595
PEARLS, 10004, -2, 9996, 2, 9999.491220195272
9500 BANANAS, 4952, -29, 4946, 10, 4948.3956370104315
PEARLS, 10004, -1, 9998, 9, 9999.505185506092
9600 BANANAS, 4946, -1, 4945, 20, 4948.137307976243
PEARLS, 10005, -20, 9995, 20, 9999.507245087752
9700 BANANAS, 4952, -25, 4946, 3, 4948.155855546865
PEARLS, 10005, -25, 9998, 3, 9999.530285380413
9800 BANANAS, 4950, -5, 4945, 21, 4948.138884622971
PEARLS, 10002, -5, 9995, 21, 9999.519000035585
9900 BANANAS, 4952, -22, 4945, 22, 4948.150073772952
PEARLS, 10005, -22, 9995, 22, 9999.531361828753
10000 BANANAS, 4952, -31, 4946, 8, 4948.156897990163
PEARLS, 10004, -2, 9998, 8, 9999.558269655243
10100 BANANAS, 4952, -22, 4945, 22, 4948.161584847241
PEARLS, 10005, -22, 9995, 22, 9999.565899078143
10200 BANANAS, 4952, -2, 4946, 25, 4948.177967337797
PEARLS, 10004, -2, 9996, 2, 9999.567705949827
10300 BANANAS, 4947, -4, 4946, 2, 4948.156659461291
PEARLS, 10004, -2, 9996, 2, 9999.576553041798
10400 BANANAS, 4953, -30, 4946, 30, 4948.1721912052935
PEARLS, 10005, -30, 9995, 30, 9999.578315568158
10500 BANANAS, 4952, -28, 4946, 4, 4948.175636819424
PEARLS, 10004, -1, 9998, 4, 9999.600433946833
10600 BANANAS, 4950, -6, 4945, 23, 4948.16628544476
PEARLS, 9998, -2, 9995, 23, 9999.25148188056
10700 BANANAS, 4952, -23, 4946, 1, 4948.201328425072
PEARLS, 10005, -23, 9998, 1, 9999.290317554483
10800 BANANAS, 4953, -23, 4947, 3, 4948.223424181122
PEARLS, 10005, -23, 10002, 1, 9999.367445745103
10900 BANANAS, 4953, -30, 4947, 1, 4948.284192153172
PEARLS, 10004, -1, 9996, 1, 9999.376702034604
11000 BANANAS, 4952, -1, 4946, 30, 4948.2900802961285
PEARLS, 10004, -1, 9996, 1, 9999.379296406989
11100 BANANAS, 4951, -4, 4946, 31, 4948.291765780834
PEARLS, 10002, -4, 9996, 2, 9999.372347083387
11200 BANANAS, 4952, -1, 4946, 29, 4948.297452326317
PEARLS, 10004, -1, 10002, 1, 9999.47814802108
11300 BANANAS, 4952, -27, 4950, 1, 4948.370917349602
PEARLS, 10004, -1, 9996, 1, 9999.4803201417
11400 BANANAS, 4951, -1, 4946, 3, 4948.374614468741
PEARLS, 10004, -1, 9998, 2, 9999.49252193653
11500 BANANAS, 4951, -29, 4945, 2, 4948.3665603913605
PEARLS, 10004, -1, 9998, 1, 9999.504356153499
11600 BANANAS, 4951, -26, 4944, 26, 4948.347929652216
PEARLS, 10005, -26, 9995, 26, 9999.508335770975
11700 BANANAS, 4951, -22, 4944, 22, 4948.34440028842
PEARLS, 10004, -1, 9996, 1, 9999.522100775526
11800 BANANAS, 4951, -21, 4944, 21, 4948.319773251502
PEARLS, 10005, -21, 9995, 21, 9999.529306100367
11900 BANANAS, 4951, -25, 4944, 25, 4948.262103407522
PEARLS, 10005, -25, 9995, 25, 9999.552218188635
12000 BANANAS, 4950, -25, 4943, 25, 4948.051736679423
PEARLS, 10005, -25, 9995, 25, 9999.554082004708
12100 BANANAS, 4948, -4, 4943, 22, 4947.747100473664
PEARLS, 10002, -3, 9996, 2, 9999.545461670039
12200 BANANAS, 4950, -28, 4944, 10, 4947.7235835232705
PEARLS, 10004, -2, 9998, 10, 9999.595214314222
12300 BANANAS, 4950, -24, 4943, 24, 4947.657850113025
PEARLS, 10000, -5, 9996, 1, 9999.285172082495
12400 BANANAS, 4949, -1, 4943, 30, 4947.297915542425
PEARLS, 10004, -1, 9996, 1, 9999.288147432828
12500 BANANAS, 4949, -2, 4943, 31, 4947.149442583646
PEARLS, 10004, -2, 10002, 5, 9999.434148482462
12600 BANANAS, 4949, -31, 4944, 5, 4947.110408448754
PEARLS, 10004, -1, 9998, 5, 9999.440666074626
12700 BANANAS, 4950, -31, 4943, 31, 4947.089529360365
PEARLS, 10004, -2, 9996, 2, 9999.44299420751
12800 BANANAS, 4948, -3, 4943, 31, 4946.9412982584
PEARLS, 10002, -3, 9996, 1, 9999.437872295062
12900 BANANAS, 4950, -24, 4944, 24, 4946.942070481051
